genome	AMO_Group	AMO_Group_Phy	AMO_Group_Phy_2
14_1009_12_40cm_Euryarchaeota_8773_66_8	AMO_AA	AMO_AA	Ca. Angelarchaeales
RidSed_csp2_13ft_2_Maxbin2_003_curated	AMO_AA	AMO_AA	Ca. Angelarchaeales
14_0903_16_40cm_Euryarchaeota_5700_65_8	AMO_AA	AMO_AA	Ca. Angelarchaeales
14_1009_16_40cm_Euryarchaeota_10056_68_9	AMO_AA	AMO_AA	Ca. Angelarchaeales
GCA_005878375.1	AMO_AA	AMO_AA	Ca. Angelarchaeales
14_0903_16_30cm_Euryarchaeota_5572_64_14_curated	AMO_AA	AMO_AA	Ca. Angelarchaeales
14_0929_05_40cm_Euryarchaeota_3424_64_12	AMO_AA	AMO_AA	Ca. Angelarchaeales
15con2h1_8_Maxbin2_011_curated	AMO_AA	AMO_AA	Ca. Angelarchaeales
15con2h1_8_Maxbin2_128_sub_curated	AMO_AA	AMO_AA	Ca. Angelarchaeales
PLM3-1_170_b2_sep16_Maxbin2_081_curated	AMO_AA	AMO_AA	Ca. Angelarchaeales
PLM3-1_200_b2_sep16_Maxbin2_057_curated	AMO_AA	AMO_AA	Ca. Angelarchaeales
RifSed_csp1_16ft_3_Maxbin2_041_curated	AMO_AA	AMO_AA	Ca. Angelarchaeales
Sage1_R_100_16_Maxbin2_161_sub_curated	AMO_AA	AMO_AA	Ca. Angelarchaeales
Sage1_R_20_16_MetaBAT_41_curated	AMO_AA	AMO_AA	Ca. Angelarchaeales
Sage2_L_100_16_MetaBAT_94_sub_curated	AMO_AA	AMO_AA	Ca. Angelarchaeales
Sage2_R_115_16_Maxbin2_115_sub_curated	AMO_AA	AMO_AA	Ca. Angelarchaeales
GCA_001800745.1	AMO_AA	AMO_AA	Ca. Angelarchaeales
GCA_001800825.1	AMO_AA	AMO_AA	Ca. Angelarchaeales
GCA_005878325.1	AMO_AA	AMO_AA	Ca. Angelarchaeales
14_0929_12_30cm_Euryarchaeota_7367_63_8	AMO_AA	AMO_AA	Ca. Angelarchaeales
14_0929_02_40cm_Euryarchaeota_2838_66_7	AMO_AA	AMO_AA	Ca. Angelarchaeales
14_0929_05_40cm_Euryarchaeota_3410_64_11_curated	AMO_AA	AMO_AA	Ca. Angelarchaeales
14_0929_09_40cm_Euryarchaeota_7025_64_18	AMO_AA	AMO_AA	Ca. Angelarchaeales
GCA_005878525.1	AMO_AA	AMO_AA	Ca. Angelarchaeales
14_0927_12_20cm_Euryarchaeota_6357_65_11	AMO_AA	AMO_AA	Ca. Angelarchaeales
14_1009_13_40cm_Euryarchaeota_9349_65_9	AMO_AA	AMO_AA	Ca. Angelarchaeales
